"week_end","article_date","asset","title","description","summary","publisher","url","query","query_rank","gnews_rank"
"2014-03-14","2014-03-10","TNX","Relationship between the yield curve and previous peaks in the business cycle - International Banker","Relationship between the yield curve and previous peaks in the business cycle International Banker","Below is a chart of the yield curve vs GDP growth one year later, showing the accuracy of this measure:At this point in time, it is interesting to consider how the yield curve behaved at previous peaks in the business cycle. The yield curve tends to flatten and even become inverted about a year prior to previous peaks in the business cycle. So, in August 2006, the yield curve first became inverted and, based on previous occurrences, a year later is when the business cycle peaks. When the business cycle peaks, it is prudent to swap stocks which are essentially leveraged to growth and inflation prospects to bonds which do better on the other side of the business cycle. In the previous recession during 2000-2001, the yield curve was also a useful tool to sidestep much of the carnage from the tech bubble:The yield curve became inverted in November 1998, and one year later the S&P 500 was at ","International Banker","https://internationalbanker.com/brokerage/relationship-yield-curve-previous-peaks-business-cycle/","bond yields","3","2"
"2014-03-21","2014-03-21","TNX","The downward trend in earthquake catastrophe bond yields - Artemis.bm","The downward trend in earthquake catastrophe bond yields Artemis.bm","Another recent earthquake cat bond, Tokio Marine & Nichido Fire’s latest transaction Kizuna Re II Ltd., completed with the lowest Japanese quake cat bond coupon ever seen at 2.25%. Earthquake catastrophe bond coupons and expected lossesThis first chart shows the 16 earthquake cat bond issuances coupons and expected losses. Interestingly the expected losses of pure earthquake catastrophe bond issuance over recent years has also declined, although not as rapidly. Earthquake catastrophe bond multiplesAs well as looking at the pricing of earthquake cat bonds it’s also worth looking at the multiple, of expected loss to coupon payment. The trend line on the chart above shows that there has been a very small decline in multiples on earthquake catastrophe bond deals in recent years, but nothing significant.","Artemis.bm","https://www.artemis.bm/news/the-downward-trend-in-earthquake-catastrophe-bond-yields/","bond yields","3","1"
"2014-03-28","2014-03-27","TNX","The Fed taper: How quantitative easing affects the yield curve - Market Realist","The Fed taper: How quantitative easing affects the yield curve Market Realist","The Fed taper: How quantitative easing affects the yield curve Market Realist","Market Realist","https://news.google.com/rss/articles/CBMijAFBVV95cUxPZWlHT05EODdUMWF5ZUplTlF6NHU5QjgxMTZxZ01HQkJ2SEQ2cXVsdVQzcU5YR0RiaDd0bzFZb29jLUFwOFZkMldZcjh6RkpydDdnd01vdzl0RHBnZThBT2JQT3RjSDJSVDFfcHZZelVUSDJyNmxKakR6NzF6R3dGcnJnRFIyZXd0Ulo4VQ?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury yields","2","3"
"2014-04-04","2014-04-03","TNX","Taylor-rule interest rates for euro area countries: diversity remains - Bruegel","Taylor-rule interest rates for euro area countries: diversity remains Bruegel","Taylor-rule interest rates for euro area countries: diversity remains Bruegel","Bruegel","https://news.google.com/rss/articles/CBMinwFBVV95cUxOSGUxQVZKLVozbGYxZnpXMHhkVFBMQU9EVmRjMnVLbTBISVA0QXEwSkZYNlNBb3FpTWxRRU41UWdNSW9MZHplRi1HYkFZYnVDZE9YZ0F5TVB0RWUtY21pNFEybnJFcHp0cmRZVURta2N2S3NSSlRXTnBXZVA1R0lNWkpDbk50UGlLX1FWNlNtQUg4ZXgzZmw0d180R3dKV1U?oc=5&hl=en-US&gl=US&ceid=US:en","interest rates","6","1"
"2014-04-11","2014-04-09","TNX","Greece Dives Back Into the Bond Market (Published 2014) - nytimes.com","Greece Dives Back Into the Bond Market (Published 2014) nytimes.com","Greece Dives Back Into the Bond Market (Published 2014) nytimes.com","nytimes.com","https://news.google.com/rss/articles/CBMiowFBVV95cUxNMHpTQTl1QVZZaVNxM0puS2RhZnRKcFJ4ZUhQbU5Pc1c2WVpaQU1hOTFJYjhoX1hfUjNfV0YtcFNoXzh1QlNwTGQ5YjlBWHltbW1lYWtHWWlZUTloa0ZZdTAyY3Y2TTVfaUJZN0VoelFaQVlzYTdPRFZ2dDdGZ0lMLWdRb2g2bnZYMDJkUHRwTzFiQU1kcFFPNThMbmJhNVdQVWFB?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","3"
"2014-04-18","2014-04-17","TNX","Why Energy is Catching the Market’s Eye - USFunds","Why Energy is Catching the Market’s Eye USFunds","Why Energy is Catching the Market’s Eye USFunds","USFunds","https://news.google.com/rss/articles/CBMif0FVX3lxTE1lcUE0cUZOOHdYZlJmZTRkSktScnVrN3pzblM2Y3VXeE9sS0RlNGtxaGZoU2x4LVFtQVFLYnowS2NyYTYzMnVLY2xrSDBTMTZQMWsxQkVWU0ZwWlZjRzllc2V2WXBvRFZmQl9IdGFnWWtMN0hMUDF2ZE11b1l6M3c?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-04-25","2014-04-25","TNX","Samaras N.Y. Meeting With Dimon Opened Bond Market Door - greekreporter.com","Samaras N.Y. Meeting With Dimon Opened Bond Market Door greekreporter.com","Samaras N.Y. Meeting With Dimon Opened Bond Market Door greekreporter.com","greekreporter.com","https://news.google.com/rss/articles/CBMilwFBVV95cUxNbG1vSFpxMXQ3LUVjWFdMcDFZMm5HWDVjdnZoTUgwSVp0S0lub0hFWmNhTGs5QnNSV0lzQ2c1SUtmWm8xdHpGUVE3Q3I5TWJaRGJEcHRFNlJtZkppb2hpdXFZblRXMUdhaHZpLS1HVTRubTVvdWM5VHdXQmtETVJFUjBfZmNVQS11RG1RQWlsdS1UR3EzOGdV?oc=5&hl=en-US&gl=US&ceid=US:en","bond yields","3","5"
"2014-05-02","2014-04-29","TNX","Why investors should follow shifts and twists in the yield curve - Market Realist","Why investors should follow shifts and twists in the yield curve Market Realist","Why investors should follow shifts and twists in the yield curve Market Realist","Market Realist","https://news.google.com/rss/articles/CBMigwFBVV95cUxQenRYWXlMNTEwbnNVTnM1Z3NMVzdYa0NsWGdQUE84c2tGaTBMdUVnRERZTjI0R1pLdHpGSDNkbG9CSWRxZURXSVVDRFU1UFk4dVRPUGFmSWticGNId1F1TGswS1hId2xfVXhmV0VwYW5BRW5iRC1RVk9mdXA3S0dqOGhjUQ?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury yields","2","2"
"2014-05-09","2014-05-07","TNX","Student Loan Interest Rates Reset for AY 2014-15 - New America","Student Loan Interest Rates Reset for AY 2014-15 New America","For new and returning student loan borrowers, that means the results are in on the interest rates they’ll pay on any federal loans they take out this year. Interest rates for undergraduate Stafford loans will be set at 4.66 percent for the 2014-15 academic year — up from 3.86 percent last year. And graduate students and parents of undergraduates will still have lower interest rates than they did just two years ago. A contentious debate led to a bipartisan compromise that replaced the arbitrarily set interest rates with ones based on interest rates in the economy. That’s because it’s what the law was supposed to do–keep rates on newly issued student loans low for as long as interest rates in the economy stay low.","New America","https://www.newamerica.org/insights/student-loan-interest-rates-reset-ay-2014-15/","interest rates","6","1"
"2014-05-16","2014-05-12","TNX","Treasury Term Premia: 1961-Present - Liberty Street Economics","Treasury Term Premia: 1961-Present Liberty Street Economics","Treasury Term Premia: 1961-Present Liberty Street Economics","Liberty Street Economics","https://news.google.com/rss/articles/CBMikgFBVV95cUxOVGNOdzNuNE1LU0JTSWdvSUVpblYtem1EVDlXSEx4UzJ6OW1Sd2ZCWndPRjA3TXNVNElSZERncHFvVG5qZUYwWU5pTkpnZjhab1Q0NmtOM2Q0dVFpazFoMGtSSEJITnJZTVF0T1VnamFOazFyb19XY0R2anNaazRmd2JSZDVwUjdFclNSOGVyNUo0Zw?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-05-23","2014-05-22","TNX","Mixed economic data sends stocks slightly higher - Colorado Springs Gazette","Mixed economic data sends stocks slightly higher Colorado Springs Gazette","Mixed economic data sends stocks slightly higher Colorado Springs Gazette","Colorado Springs Gazette","https://news.google.com/rss/articles/CBMihwFBVV95cUxQZFgteUN6OEMxQTMwVEdfTENvNTB3SzZjMjFnUjRseDFBTXZLanJnWEcwTHdjS0g4M05nRHFUZzdCTlhZaEc3SlpkckhrdkxQX2d3ZmlfNzZCeERDMXFvTE15U1JobjlsN3FYREdzcFhRZkJTa2dzNVFDSVhWRENFT0RRZjlfMkk?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","2"
"2014-05-30","2014-05-28","TNX","Treasury yields dip to new 2014 lows - cnbc.com","Treasury yields dip to new 2014 lows cnbc.com","Treasury yields dip to new 2014 lows cnbc.com","cnbc.com","https://news.google.com/rss/articles/CBMifkFVX3lxTFAzdk1fdnBKWmFXN0V5ZE1VelVPOFZIVWlYcFRZS0pvT1JDdGVpTzJiMFJhZXRKeUEtLWlLaTJzUnRwNjBVVUJvWGcxTG01UlB3WkpGWVdpZ0FrSy1QdlVKcjhSWmdZSDRZVFo1UWp3TUt1VERTc0R6b3NBSk1JUdIBgwFBVV95cUxPLVRYbXgyb3V4NXMzOHJ2dmN3ZzhlNWxBQ2tZZGwtUDlRRlZfa0hmQlo2dW1XMXhwbllMcWRXamRDSWp5MHd2ejBpTUlyWGF5RkROejU4Z2lCUjBTUkljc21iX1N6dGp3dFNUclA0RzdaREotRXlydDhJTHA5d1ctcG5fQQ?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-06-06","2014-06-02","TNX","Indian bond yields snap two-day fall on caution ahead of RBI policy - Mint","Indian bond yields snap two-day fall on caution ahead of RBI policy Mint","Indian bond yields snap two-day fall on caution ahead of RBI policy Mint","Mint","https://news.google.com/rss/articles/CBMiugFBVV95cUxQUjg5ejRQUVIxYVBvMkFfTDBnazlTWFJYdjVrOXV5akJfclpWWWFSWWJFajU2aC1pVUt6YnUwNFJlbmVTTE1nUjh0QkhkODNuYlhhUXh4Mm1hR21LNmVLaUxReTBKc21RLW9qQUFnSGFXLTduSkNvSGR2MTZzMWhiZkJvck9CSHQtb3Y0Qm1SYzhwOW1nQmdfZ0t6RHJZLTktY0JuZ0R6VFVWOEI4YUllMGxBM0hyMFJ4Z3fSAccBQVVfeXFMUG1lb3RuS25rTC1TVGNfdW45UFZXSEVoaGFkLUxFX1V4S0puR2NFakNGWlVDY1U4TTJpcWROZFNkbWVhSmRsRHdrbzZuQUxkZ19zb3ZxYnFrenM2OC1JZldEMklXWkVSdUl0c1QyeEI3UFhyejBTbklwZXBJQzE3LU1wZEd3OW14S3BEUERzbU5SQzNER0NaMUxTaHBLcmNZMUFLbnE2Njk5NXdpLUVMa3oyalAxTTBXMWhrcXZLRmM2Tm1JQ3RGRQ?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","4"
"2014-06-13","2014-06-12","TNX","Observing interest rates with Jim Grant - roger montgomery","Observing interest rates with Jim Grant roger montgomery","Observing interest rates with Jim GrantJames Grant of Grant’s Interest Rate Observer famously observed that gold was “the refuge of idiots”. James Grant founded Grant’s Interest Rate Observer in 1983 following a stint at Barron’s, where he originated the “Current Yield” column. James is also the author of “Bernard M. Baruch: The Adventures of a Wall Street Legend” (Simon & Schuster, 1983) and “Mr. Market Miscalculates” (Axios Press, 2008) among others. If you think that lending money to the US government for 2.40% today means the Italian government shouldn’t also be able to borrow at 2.70%, then you will be very interested in spending half an hour watching this Forbes interview with James Grant.","roger montgomery","https://rogermontgomery.com/observing-interest-rates-with-jim-grant/","bond yields","3","3"
"2014-06-20","2014-06-20","TNX","Unhappy with bonds, retirees? Add an annuity to your fixed-income mix - The Globe and Mail","Unhappy with bonds, retirees? Add an annuity to your fixed-income mix The Globe and Mail","Unhappy with bonds, retirees? Add an annuity to your fixed-income mix The Globe and Mail","The Globe and Mail","https://news.google.com/rss/articles/CBMi2gFBVV95cUxOdTRmVW16NTA5QTJwYXl0Q3VpbU1wb3lKdjdmR2hxM1hvWWpabjhHNjBUX3pxTlZDUFE0TmhXUmpJTFJvTmJUNjFob1lDSU9POU16TFRINjM5b29ZVXBqSkE5Q2lZSjZvWVNfMXFmYzlJYWxhR01xblRqUzZ3YVJxTmJNQ09hY2pGd2g3U2U4bnNnMTZ2UHA1aURJMTl5alZkaXg5UGVSVm1qTERRN01GNFBLTFp2clJHYklIdFFEUFVmVEZtdXp5am0yR0F5VXNBN3ZRMG9fbkNiQQ?oc=5&hl=en-US&gl=US&ceid=US:en","bond yields","3","7"
"2014-06-27","2014-06-25","TNX","Low interest rates and secular stagnation: Is debt a missing link? - CEPR","Low interest rates and secular stagnation: Is debt a missing link? CEPR","Low interest rates and secular stagnation: Is debt a missing link? CEPR","CEPR","https://news.google.com/rss/articles/CBMilAFBVV95cUxOQ00wS2VCaENfeDNDeHVMS294Q0VvWEMzQmN6TjVBRWJGbmFGeXR5UTBhYkFBcTR4T2diNjlTSWd0Qm1JTkVJQzB1NTEybDJ4aXBtdTJLclF6M2VveTRteExSRkwxc1p5N1NwS1JRUnhJcVJ0bVY2b1ZwdHhxQnBHYkp5Nk50dlFTU2FvcjdxQWs5TlFa?oc=5&hl=en-US&gl=US&ceid=US:en","yield curve","4","1"
"2014-07-04","2014-06-30","TNX","Student loan interest rates to increase - AP News","Student loan interest rates to increase AP News","Student loan interest rates to increase AP News","AP News","https://news.google.com/rss/articles/CBMikgFBVV95cUxONmtnaGw4Qy0yOFJEMnlEbXhReUJrYXRkWXN5S05GclJSc3UxU25ObDFKOGd3aTIxX0E5X0w5bnZxQU9uNHNXMXIyR3JCYXFzdjViN3M4dlZTSTBpM1h0OEZNenF5NmF6OUNPVGZ1bkROaTFWYnU1cHkyYUNYV3NPWFI1REJ4SkM1Uk04MjZleGJCQQ?oc=5&hl=en-US&gl=US&ceid=US:en","interest rates","6","3"
"2014-07-11","2014-07-08","TNX","A Simple Trick That Will Help You Understand The Bond Market - money.com","A Simple Trick That Will Help You Understand The Bond Market money.com","A Simple Trick That Will Help You Understand The Bond Market money.com","money.com","https://news.google.com/rss/articles/CBMiYEFVX3lxTE9QR211aWVXN2pQaUltbHdDT0tTUXdndGxCVHRNdEJSOWxMVVNNLVZfR2ttdVVXN1kzdnJkbEVPaUFITWJ1OFl5V18xS2tXR2Vvd0xWN3JBdGJDWkY3ZGRGQdIBbEFVX3lxTE9SV2JwcWc5ZWg2ZktRcm9ycEZSQndhRlhyZUFsYmJyaVh5d0pWMkJCR2pQY2lkbTFnV1czaEczcHl2SVlqN2poRk82ZnpTck5hX09rdDJCbXBocGFtRTJUOG9vQ0ZObnF4ei1mMw?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-07-18","2014-07-14","TNX","Wave of Cash Returns to Australia - WSJ","Wave of Cash Returns to Australia WSJ","Wave of Cash Returns to Australia WSJ","WSJ","https://news.google.com/rss/articles/CBMikAFBVV95cUxObUhUR0tDckJ3YWlPd1VfWHFESDJQVy12akJpV1VuNlRsYTZDNEZGdE8xaHAtX1Y2NnVJNGJFWWJQZ0ZZelgzZUFsVG0xcmRkUUxMTkszOVIzcFpyRWxILVJwSDNLeUhJdHFBTWpHT251TkFCbWVoRk9hLVIteTl2S3UwWjNtX1pDYWhoUjh2ODU?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-07-25","2014-07-19","TNX","Payday loan case reveals brutal interest rates - Wichita Eagle","Payday loan case reveals brutal interest rates Wichita Eagle","Payday loan case reveals brutal interest rates Wichita Eagle","Wichita Eagle","https://news.google.com/rss/articles/CBMiZ0FVX3lxTE83ZUtubU9PUURwMExLU1JNXzczLTd4UC12dEZWM05XLWVPQVVrTGpwUnJ3RTQ0Y1FqUHZEUTFCeU9mWng2NG83QjVXbmlrT2c2SHBydVBJLW55T3Mxd1lLZTVZdkFJcFnSAWdBVV95cUxNUFdqc255bDlTMlozX3phbjd5THRYeEhxbTREY3c2VWZadlNna1JFY2FGSTJvcTdwVDFEaUl5eFdQNUJocmZULTBJVFdlUFYwNGt6TTgzYU93SjhuQ3VrMXNubjRxSnlV?oc=5&hl=en-US&gl=US&ceid=US:en","interest rates","6","4"
"2014-08-01","2014-07-31","TNX","Bond Prices and Interest Rates - The Motley Fool","Bond Prices and Interest Rates The Motley Fool","Bond Prices and Interest Rates The Motley Fool","The Motley Fool","https://news.google.com/rss/articles/CBMiiAFBVV95cUxOV0hqckhjVVhlN2xMcGxOM1pEWEZ3SGZzQ0lfTGZES2lrWmtSY3puTmZqNWVrcFM1QV9nSUpZeVAyVDFhTVpaMTRaQkNrbEdzWVRYM1V5UmhoQlFyZmhOR3lkQTRSenJQNWFDbU9DZXNRZU8zTVpEbnpKcV93c3Y2NC01NUdkU0Fn?oc=5&hl=en-US&gl=US&ceid=US:en","bond yields","3","2"
"2014-08-08","2014-08-04","TNX","The Cheapest States for Affordable Mortgage Rates | GOBankingRates - GOBankingRates","The Cheapest States for Affordable Mortgage Rates | GOBankingRates GOBankingRates","The Cheapest States for Affordable Mortgage Rates | GOBankingRates GOBankingRates","GOBankingRates","https://news.google.com/rss/articles/CBMijgFBVV95cUxQQnZKWXlrX0RmV3loU3VBTkp4R3JVZDZuMlpzSlIwM3psRGpmeXZJbmNFTEd6TnpFcmc2Ml9nVUE5cUU2d1JVNFBYaE43QXN2MDFzckJMTEtMMUctRU8zUWZzbUpybFZmU0NRY2J5Qlc1dDdmTTY2SUhlWTB2ZzNOM3NocmtSeHB2UlNsdW9n0gHfAUFVX3lxTE1neERReXJjSVB2ZWhZV2o0SDU3a1NuTnA3VjNrMDB1enRxa3BIVTdUX0VCeURjR0dBQVhZTGhUTk1TVUlvOVdFSEZmdUpWS3lJb2RRdE95U0NjNzI2VmU0Q0hFYVlZYktvM3NrUEhYd2FCN2RtbVdTVnVTcVVyT2lBT0x0dTllUVNRMnBHOWdITzU4M3Jzb2d3RDVLZ3JqS0lpUm9lVGZXd1o4VkhoOWhjNU0xalhRWVlxVF9yRjhDdlBReHhXR3Z4Wm5sbll5QnhFaUMxd2s2aHpOekozNGM?oc=5&hl=en-US&gl=US&ceid=US:en","bond yields","3","6"
"2014-08-15","2014-08-14","TNX","CHART: Interest rates vs gold price shows plenty upside - Mining.com","CHART: Interest rates vs gold price shows plenty upside Mining.com","Something to cheer next year Gold was trading sideways on Wednesday around the $1,310 level, holding onto gains of nearly 9% this year. This year the price of gold has found some support from safe haven buying thanks to the political crises in Eastern Europe and the Middle-East, but the number one negative factor working against the metal has been expectations of higher market interest rates and rising bond yields in the US. As the chart shows the relationship between real long-term interest rates in the US (as proxied by 10-year US inflation-linked bonds) and the gold price is strongly negative.","Mining.com","https://www.mining.com/chart-interest-rates-vs-gold-price-shows-plenty-upside-51610/","10-year Treasury yield","1","3"
"2014-08-22","2014-08-21","TNX","Mortgage rates hit 2014 low - Hartford Business Journal","Mortgage rates hit 2014 low Hartford Business Journal","Mortgage rates hit 2014 low Hartford Business Journal","Hartford Business Journal","https://news.google.com/rss/articles/CBMic0FVX3lxTFBBVnJTU2lORW1ja24ybDBtQmhYb0NEWU1ValdhWTAtVTA2d2V0SU8yMDkxUGpWWHdSenZnamFERDdBUnphSzdxQjA0ZVp6T2MzU3B3NHdYTjNyeWJpRlk5eEJNTmNlYjhyMG9nMlBBRy1fZU0?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury market","5","5"
"2014-08-29","2014-08-28","TNX","The real financial monster: low interest rates - PBS","The real financial monster: low interest rates PBS","The real financial monster: low interest rates PBS","PBS","https://news.google.com/rss/articles/CBMigwFBVV95cUxQS3hVLU5jNloyazFlc2Q1LUtWd01XYVBGYy01TUpUOGZES00ycWRLT0lQM1ZkQ2ZVbEdidnlma3lIVEhQa1ExamE0d0laeWFELUdqQmRnQXE4UzBydmpqTkk0YWVJWWFfVHNfa1VGR0NjNnhNRHEwWVphaGVtNnhBS1FoSQ?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
